doc_no,case_id,evidence_count,bad_evidence_count,bad_evidence_ratio,warning_counts
0064,sci_evo_0064,19,0,0.0,{}
0067,sci_evo_0067,46,0,0.0,{}
0068,sci_evo_0068,36,0,0.0,{}
0069,sci_evo_0069,33,0,0.0,{}
0071,sci_evo_0071,33,0,0.0,{}
0072,sci_evo_0072,26,0,0.0,{}
0073,sci_evo_0073,37,0,0.0,{}
0074,sci_evo_0074,30,0,0.0,{}
0075,sci_evo_0075,30,0,0.0,{}
0076,sci_evo_0076,31,0,0.0,{}
0078,sci_evo_0078,38,0,0.0,{}
0079,sci_evo_0079,19,0,0.0,{}
0080,sci_evo_0080,28,0,0.0,{}
0081,sci_evo_0081,28,0,0.0,{}
0084,sci_evo_0084,45,0,0.0,{}
0085,sci_evo_0085,38,0,0.0,{}
0086,sci_evo_0086,30,0,0.0,{}
0087,sci_evo_0087,27,0,0.0,{}
0088,sci_evo_0088,35,0,0.0,{}
0091,sci_evo_0091,36,0,0.0,{}
0092,sci_evo_0092,28,0,0.0,{}
0093,sci_evo_0093,33,0,0.0,{}
0094,sci_evo_0094,32,0,0.0,{}
0095,sci_evo_0095,41,0,0.0,{}
0097,sci_evo_0097,33,0,0.0,{}
0098,sci_evo_0098,33,0,0.0,{}
0103,sci_evo_0103,34,0,0.0,{}
0107,sci_evo_0107,29,0,0.0,{}
0108,sci_evo_0108,29,0,0.0,{}
0111,sci_evo_0111,19,0,0.0,{}
0112,sci_evo_0112,21,0,0.0,{}
0113,sci_evo_0113,36,0,0.0,{}
0114,sci_evo_0114,26,0,0.0,{}
0115,sci_evo_0115,29,0,0.0,{}
0116,sci_evo_0116,33,0,0.0,{}
0117,sci_evo_0117,34,0,0.0,{}
0118,sci_evo_0118,40,0,0.0,{}
0119,sci_evo_0119,43,0,0.0,{}
0120,sci_evo_0120,36,0,0.0,{}
0121,sci_evo_0121,37,0,0.0,{}
0122,sci_evo_0122,38,0,0.0,{}
0123,sci_evo_0123,34,0,0.0,{}
0127,sci_evo_0127,26,0,0.0,{}
0128,sci_evo_0128,32,0,0.0,{}
0129,sci_evo_0129,27,0,0.0,{}
0132,sci_evo_0132,32,0,0.0,{}
0133,sci_evo_0133,35,0,0.0,{}
0134,sci_evo_0134,28,0,0.0,{}
0137,sci_evo_0137,27,0,0.0,{}
0138,sci_evo_0138,34,0,0.0,{}
0141,sci_evo_0141,23,0,0.0,{}
0142,sci_evo_0142,34,0,0.0,{}
0143,sci_evo_0143,36,0,0.0,{}
0144,sci_evo_0144,34,0,0.0,{}
0145,sci_evo_0145,24,0,0.0,{}
0146,sci_evo_0146,22,0,0.0,{}
0148,sci_evo_0148,40,0,0.0,{}
0149,sci_evo_0149,38,0,0.0,{}
0150,sci_evo_0150,19,0,0.0,{}
0151,sci_evo_0151,36,0,0.0,{}
0152,sci_evo_0152,40,0,0.0,{}
0153,sci_evo_0153,35,0,0.0,{}
0154,sci_evo_0154,47,0,0.0,{}
0156,sci_evo_0156,35,0,0.0,{}
0158,sci_evo_0158,40,0,0.0,{}
0159,sci_evo_0159,32,0,0.0,{}
0160,sci_evo_0160,33,0,0.0,{}
0161,sci_evo_0161,33,0,0.0,{}
0163,sci_evo_0163,28,0,0.0,{}
0165,sci_evo_0165,37,0,0.0,{}
0168,sci_evo_0168,19,0,0.0,{}
0169,sci_evo_0169,37,0,0.0,{}
0170,sci_evo_0170,28,0,0.0,{}
0171,sci_evo_0171,32,0,0.0,{}
0172,sci_evo_0172,34,0,0.0,{}
0173,sci_evo_0173,26,0,0.0,{}
0174,sci_evo_0174,33,0,0.0,{}
0175,sci_evo_0175,35,0,0.0,{}
0176,sci_evo_0176,38,0,0.0,{}
0177,sci_evo_0177,27,0,0.0,{}
0178,sci_evo_0178,17,0,0.0,{}
0179,sci_evo_0179,30,0,0.0,{}
0180,sci_evo_0180,22,0,0.0,{}
0181,sci_evo_0181,31,0,0.0,{}
0182,sci_evo_0182,33,0,0.0,{}
0183,sci_evo_0183,31,0,0.0,{}
0184,sci_evo_0184,23,0,0.0,{}
0188,sci_evo_0188,25,0,0.0,{}
0190,sci_evo_0190,21,0,0.0,{}
0191,sci_evo_0191,52,0,0.0,{}
0192,sci_evo_0192,29,0,0.0,{}
0193,sci_evo_0193,35,0,0.0,{}
0194,sci_evo_0194,35,0,0.0,{}
0196,sci_evo_0196,29,0,0.0,{}
0197,sci_evo_0197,38,0,0.0,{}
0200,sci_evo_0200,19,0,0.0,{}
