doc_no,case_id,decision,issue_count,issue_types
0171,sci_evo_0171,pass,0,[]
0172,sci_evo_0172,pass,0,[]
0173,sci_evo_0173,pass,0,[]
0174,sci_evo_0174,pass,0,[]
0175,sci_evo_0175,pass,0,[]
0176,sci_evo_0176,pass,0,[]
0177,sci_evo_0177,pass,0,[]
0178,sci_evo_0178,pass,0,[]
0179,sci_evo_0179,pass,0,[]
0180,sci_evo_0180,pass,0,[]
0181,sci_evo_0181,pass,0,[]
0182,sci_evo_0182,pass,0,[]
0183,sci_evo_0183,pass,0,[]
0184,sci_evo_0184,pass,0,[]
0188,sci_evo_0188,pass,0,[]
0190,sci_evo_0190,pass,0,[]
0191,sci_evo_0191,pass,0,[]
0192,sci_evo_0192,pass,0,[]
0193,sci_evo_0193,pass,0,[]
0194,sci_evo_0194,pass,0,[]
0196,sci_evo_0196,pass,0,[]
0197,sci_evo_0197,pass,0,[]
0200,sci_evo_0200,pass,0,[]
