doc_no,case_id,title,step_count,error_count,warning_count,high_warning_count,rule_decision
0039,sci_evo_0039,Development and characterization of a glycine biosensor system for fine-tuned metabolic regulation in Escherichia coli,12,0,6,0,pass
0041,sci_evo_0041,Identification of a novel metabolic engineering target for carotenoid production in Saccharomyces cerevisiae via ethanol-induced adaptive laboratory evolution,12,0,2,0,pass
0042,sci_evo_0042,Efficient production of d-lactate from methane in a lactate-tolerant strain of Methylomonas sp. DH-1 generated by adaptive laboratory evolution,12,0,3,0,pass
0043,sci_evo_0043,A seamless and iterative DNA assembly method named PS-Brick and its assisted metabolic engineering for threonine and 1-propanol production,12,0,0,0,pass
0044,sci_evo_0044,Dissecting the evolvability landscape of the CalB active site toward aromatic substrates,12,0,1,0,pass
0045,sci_evo_0045,Enhancement of the catalytic activity of Isopentenyl diphosphate isomerase (IDI) from Saccharomyces cerevisiae through random and site-directed mutagenesis,12,0,6,0,pass
0047,sci_evo_0047,Hydrogen overproducing nitrogenases obtained by random mutagenesis and high-throughput screening,10,0,4,0,pass
0048,sci_evo_0048,Selection of chromosomal DNA libraries using a multiplex CRISPR system,12,0,1,0,pass
0050,sci_evo_0050,WISDOM-II: Screening against multiple targets implicated in malaria using computational grid infrastructures,9,0,3,0,pass
0052,sci_evo_0052,Rational computational design and development of an immunogenic multiepitope vaccine incorporating transmembrane proteins of Fusobacterium necrophorum,12,0,4,0,pass
0053,sci_evo_0053,"Modification of the active centre of nattokinase to enhance its thermostability using a strategy based on molecular dynamics simulation, steered dynamics simulation, and conservative prediction",12,0,8,0,pass
0055,sci_evo_0055,Development of a growth-coupled selection platform for directed evolution of heme biosynthetic enzymes in Corynebacterium glutamicum,10,0,7,0,pass
0056,sci_evo_0056,Directed evolution of phosphite dehydrogenase to cycle noncanonical redox cofactors via universal growth selection platform,12,0,2,0,pass
0057,sci_evo_0057,Optimizing the downstream MVA pathway using a combination optimization strategy to increase lycopene yield in Escherichia coli,7,0,6,0,pass
0058,sci_evo_0058,Protein design and variant prediction using autoregressive generative models,11,0,4,0,pass
0059,sci_evo_0059,Drug design and repurposing with DockThor-VS web server focusing on SARS-CoV-2 therapeutic targets and their non-synonym variants,12,0,4,0,pass
0061,sci_evo_0061,Adaptive laboratory evolution accelerated glutarate production by Corynebacterium glutamicum,11,0,3,0,pass
0062,sci_evo_0062,Scalable continuous evolution for the generation of diverse enzyme variants encompassing promiscuous activities,12,0,3,0,pass
0064,sci_evo_0064,COMPASS for rapid combinatorial optimization of biochemical pathways based on artificial transcription factors,9,0,3,0,pass
0067,sci_evo_0067,A machine learning approach for reliable prediction of amino acid interactions and its application in the directed evolution of enantioselective enzymes,12,0,4,0,pass
0068,sci_evo_0068,Droplet-based microfluidic high-throughput screening of heterologous enzymes secreted by the yeast Yarrowia lipolytica,12,0,2,0,pass
0069,sci_evo_0069,"Engineering of mCherry variants with long Stokes shift, red-shifted fluorescence, and low cytotoxicity",12,0,3,0,pass
0071,sci_evo_0071,Adaptive laboratory evolution of Corynebacterium glutamicum towards higher growth rates on glucose minimal medium,12,0,3,0,pass
0072,sci_evo_0072,Development of a genetically programed vanillin-sensing bacterium for high-throughput screening of lignin-degrading enzyme libraries,10,0,4,0,pass
0073,sci_evo_0073,Thermal stability and kinetic constants for 129 variants of a family 1 glycoside hydrolase reveal that enzyme activity and stability can be separately designed,11,0,10,0,pass
0074,sci_evo_0074,Enhancing the biocatalytic manufacture of the key intermediate of atorvastatin by focused directed evolution of halohydrin dehalogenase,11,0,2,0,pass
0075,sci_evo_0075,Engineering of Methylation State Specific 3xMBT Domain Using ELISA Screening,12,0,1,0,pass
0076,sci_evo_0076,Better prediction of functional effects for sequence variants,12,0,4,0,pass
0078,sci_evo_0078,Effective Optimization of Antibody Affinity by Phage Display Integrated with High-Throughput DNA Synthesis and Sequencing Technologies,12,0,10,0,pass
0079,sci_evo_0079,Predictive combinatorial design of mRNA translation initiation regions for systematic optimization of gene expression levels,11,0,4,0,pass
0080,sci_evo_0080,Combining Rational and Random Strategies in β-Glucosidase Zm-p60.1 Protein Library Construction,12,0,4,0,pass
0081,sci_evo_0081,An Evolution-Based Approach to De Novo Protein Design and Case Study on Mycobacterium tuberculosis,12,0,4,0,pass
0084,sci_evo_0084,Identification of Sequence Variants in Genetic Disease-Causing Genes Using Targeted Next-Generation Sequencing,10,0,2,0,pass
0085,sci_evo_0085,Accelerated enzyme engineering by machine-learning guided cell-free expression,12,0,1,0,pass
0086,sci_evo_0086,Rapid response to fast viral evolution using AlphaFold 3-assisted topological deep learning,10,0,2,0,pass
0087,sci_evo_0087,Multiple factors based adaptive laboratory evolution strategy enhances DHA production in Aurantiochytrium sp. PKU#Mn16 by rewiring key metabolic pathways,12,0,2,0,pass
0088,sci_evo_0088,Transcriptome analysis and reverse engineering verification of SNZ3Val125Ile and Pho3Asn134Asp revealed the mechanism of adaptive laboratory evolution to increase the yield of tyrosol in Saccharomyces cerevisiae strain S26-AE2,10,0,5,0,pass
0091,sci_evo_0091,"Combined machine learning models, docking analysis, ADMET studies and molecular dynamics simulations for the design of novel FAK inhibitors against glioblastoma",10,0,7,0,pass
0092,sci_evo_0092,Scanning the active center of formolase to identify key residues for enhanced C1 to C3 bioconversion,11,0,5,0,pass
0093,sci_evo_0093,Engineering Bacillus subtilis J46 for efficient utilization of galactose through adaptive laboratory evolution,12,0,5,0,pass
0094,sci_evo_0094,Expanding the DNA editing toolbox: Novel lambda integrase variants targeting microalgal and human genome sequences,12,0,2,0,pass
0095,sci_evo_0095,Virological characteristics of the SARS-CoV-2 XBB variant derived from recombination of two Omicron subvariants,12,0,2,0,pass
0097,sci_evo_0097,SESNet: sequence-structure feature-integrated deep learning method for data-efficient protein engineering,11,0,3,0,pass
0098,sci_evo_0098,A computationally designed ACE2 decoy has broad efficacy against SARS-CoV-2 omicron variants and related viruses in vitro and in vivo,12,0,3,0,pass
0103,sci_evo_0103,A high-throughput multiparameter screen for accelerated development and optimization of soluble genetically encoded fluorescent biosensors,12,0,5,0,pass
0107,sci_evo_0107,ECNet is an evolutionary context-integrated deep learning framework for protein engineering,12,0,4,0,pass
0108,sci_evo_0108,A High-Throughput Screening System Based on Fluorescence-Activated Cell Sorting for the Directed Evolution of Chitinase A,11,0,4,0,pass
0111,sci_evo_0111,Ensemble-based enzyme design can recapitulate the effects of laboratory directed evolution in silico,12,0,3,0,pass
0112,sci_evo_0112,UMI-linked consensus sequencing enables phylogenetic analysis of directed evolution,12,0,0,0,pass
0113,sci_evo_0113,Expanding detection windows for discriminating single nucleotide variants using rationally designed DNA equalizer probes,11,0,3,0,pass
0114,sci_evo_0114,Computational Design of Enantiocomplementary Epoxide Hydrolases for Asymmetric Synthesis of Aliphatic and Aromatic Diols,12,0,6,0,pass
0115,sci_evo_0115,An automated workflow to screen alkene reductases using high-throughput thin layer chromatography,12,0,2,0,pass
0116,sci_evo_0116,Directed evolution of the PcaV allosteric transcription factor to generate a biosensor for aromatic aldehydes,12,0,3,0,pass
0117,sci_evo_0117,Generation of an E. coli platform strain for improved sucrose utilization using adaptive laboratory evolution,12,0,4,0,pass
0118,sci_evo_0118,Accelerated directed evolution of dye-decolorizing peroxidase using a bacterial extracellular protein secretion system (BENNY),12,0,7,0,pass
0119,sci_evo_0119,Computer-Aided Saturation Mutagenesis of Arabidopsis thaliana Ent-Copalyl Diphosphate Synthase,11,0,6,0,pass
0120,sci_evo_0120,Mosaic RAS/MAPK variants cause sporadic vascular malformations which respond to targeted therapy,12,0,8,0,pass
0121,sci_evo_0121,Integrating rare genetic variants into pharmacogenetic drug response predictions,12,0,1,0,pass
0122,sci_evo_0122,Efficient molecular evolution to generate enantioselective enzymes using a dual-channel microfluidic droplet screening platform,10,0,1,0,pass
0123,sci_evo_0123,A synthetic microbial biosensor for high-throughput screening of lactam biocatalysts,12,0,7,0,pass
0127,sci_evo_0127,RNA-aptamers-in-droplets (RAPID) high-throughput screening for secretory phenotypes,12,0,3,0,pass
0128,sci_evo_0128,Design and application of a lactulose biosensor,12,0,9,0,pass
0129,sci_evo_0129,Rationally reduced libraries for combinatorial pathway optimization minimizing experimental effort,12,0,2,0,pass
0132,sci_evo_0132,Structural Rigidity and Protein Thermostability in Variants of Lipase A from Bacillus subtilis,12,0,2,0,pass
0133,sci_evo_0133,Compounds identified by virtual docking to a tetrameric EGFR extracellular domain can modulate Grb2 internalization,12,0,6,0,pass
0134,sci_evo_0134,Development and validation of a high density SNP genotyping array for Atlantic salmon (Salmo salar),12,0,4,0,pass
0137,sci_evo_0137,"A new method to customize protein expression vectors for fast, efficient and background free parallel cloning",11,0,5,0,pass
0138,sci_evo_0138,Directed evolution of an E. coli inner membrane transporter for improved efflux of biofuel molecules,12,0,4,0,pass
0141,sci_evo_0141,Enhancement of carotenoid biosynthesis in the green microalga Dunaliella salina with light-emitting diodes and adaptive laboratory evolution,12,0,6,0,pass
0142,sci_evo_0142,"Fidelity Variants of RNA Dependent RNA Polymerases Uncover an Indirect, Mutagenic Activity of Amiloride Compounds",12,0,2,0,pass
0143,sci_evo_0143,Directed evolution of a filamentous fungus for thermotolerance,12,0,4,0,pass
0144,sci_evo_0144,Ancient mtDNA Genetic Variants Modulate mtDNA Transcription and Replication,11,0,4,0,pass
0145,sci_evo_0145,Laboratory Evolution of Fast-Folding Green Fluorescent Protein Using Secretory Pathway Quality Control,12,0,3,0,pass
0146,sci_evo_0146,SPACIER: on-demand polymer design with fully automated all-atom classical molecular dynamics integrated into machine learning pipelines,12,0,0,0,pass
0148,sci_evo_0148,Molecular property prediction using pretrained-BERT and Bayesian active learning: a data-efficient approach to drug design,12,0,0,0,pass
0149,sci_evo_0149,Unveiling molecular moieties through hierarchical Grad-CAM graph explainability,12,0,8,0,pass
0150,sci_evo_0150,Role of Artificial Intelligence in Drug Discovery and Design: From Foundational Principles to Emerging Applications in Antiviral Therapeutics,11,0,1,0,pass
0151,sci_evo_0151,Multistate and functional protein design using RoseTTAFold sequence space diffusion,12,0,4,0,pass
0152,sci_evo_0152,Biosensor and machine learning-aided engineering of an amaryllidaceae enzyme,12,0,5,0,pass
0153,sci_evo_0153,Designing of a multi-epitopes based vaccine against Haemophilius parainfluenzae and its validation through integrated computational approaches,12,0,3,0,pass
0154,sci_evo_0154,Computational design and engineering of self-assembling multivalent microproteins with therapeutic potential against SARS-CoV-2,12,0,10,0,pass
0156,sci_evo_0156,AI-based prediction of protein–ligand binding affinity and discovery of potential natural product inhibitors against ERK2,12,0,2,0,pass
0158,sci_evo_0158,Protein engineering using variational free energy approximation,12,0,6,0,pass
0159,sci_evo_0159,Machine learning optimization of candidate antibody yields highly diverse sub-nanomolar affinity antibody libraries,12,0,2,0,pass
0160,sci_evo_0160,Lactate biosensors for spectrally and spatially multiplexed fluorescence imaging,12,0,8,0,pass
0161,sci_evo_0161,Metabolic engineering of Corynebacterium glutamicum for fatty alcohol production from glucose and wheat straw hydrolysate,12,0,6,0,pass
0163,sci_evo_0163,A versatile active learning workflow for optimization of genetic and metabolic networks,12,0,4,0,pass
0165,sci_evo_0165,Therapeutic enzyme engineering using a generative neural network,11,0,4,0,pass
0168,sci_evo_0168,Sample-efficient parameter exploration of the powder film drying process using experiment-based Bayesian optimization,10,0,3,0,pass
0169,sci_evo_0169,Photovoltaphores: pharmacophore models for identifying metal-free dyes for dye-sensitized solar cells,12,0,8,0,pass
0170,sci_evo_0170,Polymerase-guided base editing enables in vivo mutagenesis and rapid protein engineering,12,0,2,0,pass
0171,sci_evo_0171,Droplet-based microfluidic platform for high-throughput screening of Streptomyces,12,0,0,0,pass
0172,sci_evo_0172,A broadly neutralizing humanized ACE2-targeting antibody against SARS-CoV-2 variants,12,0,7,0,pass
0173,sci_evo_0173,MTSplice predicts effects of genetic variants on tissue-specific splicing,12,0,5,0,pass
0174,sci_evo_0174,A dual-reporter system for investigating and optimizing protein translation and folding in E. coli,12,0,3,0,pass
0175,sci_evo_0175,Improvements of the productivity and saccharification efficiency of the cellulolytic β-glucosidase D2-BGL in Pichia pastoris via directed evolution,12,0,3,0,pass
0176,sci_evo_0176,Synergistic stabilization of a double mutant in chymotrypsin inhibitor 2 from a library screen in E. coli,10,0,6,0,pass
0177,sci_evo_0177,Scalable production and application of Pichia pastoris whole cell catalysts expressing human cytochrome P450 2C9,12,0,7,0,pass
0178,sci_evo_0178,Computational Enzyme Design at Zymvol,10,0,1,0,pass
0179,sci_evo_0179,Inferring the molecular and phenotypic impact of amino acid variants with MutPred2,12,0,3,0,pass
0180,sci_evo_0180,"Structural elucidation of SARS-CoV-2 vital proteins: Computational methods reveal potential drug candidates against main protease, Nsp12 polymerase and Nsp13 helicase",11,0,3,0,pass
0181,sci_evo_0181,In vivo–directed evolution of adeno-associated virus in the primate retina,8,0,1,0,pass
0182,sci_evo_0182,Improved betulinic acid biosynthesis using synthetic yeast chromosome recombination and semi-automated rapid LC-MS screening,12,0,6,0,pass
0183,sci_evo_0183,Accessing unexplored regions of sequence space in directed enzyme evolution via insertion/deletion mutagenesis,8,0,1,0,pass
0184,sci_evo_0184,Blackjack mutations improve the on-target activities of increased fidelity variants of SpCas9 with 5′G-extended sgRNAs,12,0,1,0,pass
0188,sci_evo_0188,Functional rare and low frequency variants in BLK and BANK1 contribute to human lupus,12,0,9,0,pass
0190,sci_evo_0190,Engineered bidirectional promoters enable rapid multi-gene co-expression optimization,12,0,1,0,pass
0191,sci_evo_0191,Creating a more robust 5-hydroxymethylfurfural oxidase by combining computational predictions with a novel effective library design,12,0,5,0,pass
0192,sci_evo_0192,Engineering Bacillus pumilus alkaline serine protease to increase its low-temperature proteolytic activity by directed evolution,12,0,5,0,pass
0193,sci_evo_0193,Engineering a vitamin B12 high-throughput screening system by riboswitch sensor in Sinorhizobium meliloti,10,0,4,0,pass
0194,sci_evo_0194,Metabolic engineering of Methylobacterium extorquens AM1 for the production of butadiene precursor,12,0,4,0,pass
0196,sci_evo_0196,Protein-altering and regulatory genetic variants near GATA4 implicated in bicuspid aortic valve,10,0,4,0,pass
0197,sci_evo_0197,Next-generation sequencing enables the discovery of more diverse positive clones from a phage-displayed antibody library,12,0,5,0,pass
0200,sci_evo_0200,Machine learning-assisted directed protein evolution with combinatorial libraries,12,0,1,0,pass
